clause_text,clause_type,domain,risk_level,source,is_synthetic
The term of this Agreement is twenty-four (24) months.,Expiration Date,Original Corporate,LOW,splits/train.csv,False
B & C General Warehouse Corporation LLC,Parties,Original Corporate,LOW,splits/train.csv,False
"The term ""Effective Date"" means the Closing Date.",Effective Date,Original Corporate,LOW,splits/train.csv,False
This Amendment and and any dispute or claim (including non-contractual disputes or claims) arising out of or in connection with it or its subject matter or formation shall be governed by and construed in accordance with the laws of England.,Governing Law,Original Corporate,LOW,splits/train.csv,False
SCIENTIFIC PRODUCTS PHARMACEUTICAL CO. LTD,Parties,Original Corporate,LOW,splits/train.csv,False
FIRST AMENDMENT TO DISTRIBUTOR AGREEMENT,Document Name,Original Corporate,LOW,splits/train.csv,False
"Vitamin Shoppe Industries, Inc.",Parties,Original Corporate,LOW,splits/train.csv,False
Cherry Hill Mortgage Investment Corp.,Parties,Original Corporate,LOW,splits/train.csv,False
"FMM and iVillage may be referred to generically as a ""Party"", or collectively as ""Parties"".",Parties,Original Corporate,LOW,splits/train.csv,False
LICENSE AND DEVELOPMENT AGREEMENT,Document Name,Original Corporate,LOW,splits/train.csv,False
"World Book grants HSWI the right to use, copy, store, archive, distribute, transmit, modify, translate (subject to Section 2.3), and Display the Images as part of the Affinity.",License Grant,Original Corporate,LOW,splits/train.csv,False
"CURO RECEIVABLES FINANCE II, LLC",Parties,Original Corporate,LOW,splits/train.csv,False
"The initial period of this Agreement (the ""Initial Term"") shall commence upon the Effective Date and continue until March 31, 2003.",Expiration Date,Original Corporate,LOW,splits/train.csv,False
"Such license is granted solely in connection with NTC's rights and obligations under this Agreement and, in particular, for the purpose of licensing NTC to use the ALFA AESAR Trademark on the NTC web site as expressly contemplated herein for referral of customers of Research Quantities to ALFA AESAR and is a link/navigational button to the ALFA AESAR Site.",License Grant,Original Corporate,LOW,splits/train.csv,False
"NETTAXI Online Communities, Inc.",Parties,Original Corporate,LOW,splits/train.csv,False
EFFECTIVE DATE     means 18 May 2000;,Effective Date,Original Corporate,LOW,splits/train.csv,False
TENNESSEE GAS PIPELINE COMPANY,Parties,Original Corporate,LOW,splits/train.csv,False
"Except to the extent governed by the Federal Arbitration Act or other federal law, this Agreement and all claims arising from the relationship between Hyatt (and/or any of its Affiliates) and Playa (and/or any of its Affiliates) under this Agreement will be governed by the laws of the State of Illinois (U.S.A.), without regard to its conflict of laws rules, except that any Illinois law or any other law regulating the offer or sale of franchises, business opportunities, or similar interests, or governing the relationship between a franchisor and a franchisee or any similar relationship, will not apply unless its jurisdictional requirements are met independently without reference to this Section 4.",Governing Law,Original Corporate,LOW,splits/train.csv,False
"each a ""Party"" and together the ""Parties",Parties,Original Corporate,LOW,splits/train.csv,False
"Except as expressly stated herein with respect to members of each Party, no person or entity not a Party to this Agreement (including, without limitation, any employee of either Party or the Joint Venture) shall be a third-party beneficiary of any provision of this Agreement, and nothing contained herein shall be construed or deemed to confer any benefit or right upon any third party.",Third Party Beneficiary,Original Corporate,LOW,splits/train.csv,False
"The validity, construction and performance of this Agreement shall be governed by the laws of the State of Texas, not including any of its conflicts of law rules that would direct or refer to the laws of another jurisdiction.",Governing Law,Original Corporate,LOW,splits/train.csv,False
"Roche shall have the right to extend the Immunotherapy Testing Platform Development Program, upon [...***...] written notice to FMI as specified in Section 19.13, for up to six (6)",Renewal Term,Original Corporate,LOW,splits/train.csv,False
"Each of Depomed and King is referred to herein individually as a ""party"" and collectively as the ""parties.""",Parties,Original Corporate,LOW,splits/train.csv,False
The laws of California shall govern the construction and enforceability of the Agreement.,Governing Law,Original Corporate,LOW,splits/train.csv,False
"This Agreement shall be governed by and construed in accordance with the laws of the State of New York, without giving effect to any choice of law or conflict of law provision or rule whether such provision or rule is that of the State of New York or any other jurisdiction.",Governing Law,Original Corporate,LOW,splits/train.csv,False
"each of which may be referred to in the singular as a ""Party"" or in the plural as the ""Parties.""",Parties,Original Corporate,LOW,splits/train.csv,False
"""Effective Date"" shall mean the date of signature of the last Party to execute this Agreement.",Effective Date,Original Corporate,LOW,splits/train.csv,False
"Accordingly, the parties agree that  the validity, interpretation and legal effect of this Agreement shall be governed by the internal laws of the State of New York, U.S.A., applicable to  contracts entered in and performed entirely within the State of New York, U.S.A. without regard to any conflict of law principles.",Governing Law,Original Corporate,LOW,splits/train.csv,False
"This Agreement shall be governed and construed in accordance with the laws of Maryland, without regard to its choice of law rules.",Governing Law,Original Corporate,LOW,splits/train.csv,False
Distributor shall only distribute or sell the Products to customers who are licensed health care professionals and meet the other requirements set forth in Exhibit B.,License Grant,Original Corporate,LOW,splits/train.csv,False
"This Agreement shall be governed by the laws of the State of Connecticut, U.S.A. without regard to conflict of law principles.",Governing Law,Original Corporate,LOW,splits/train.csv,False
"""Harpoon Patents"" means all of the Patents that are (a) Controlled by Harpoon or any of its Affiliates as of the Effective Date or at any time during the Term and (b) necessary or reasonably useful (or, with respect to Patent applications, would be necessary or reasonably useful if such Patent applications were to issue as Patents) for the Exploitation of any Licensed Compound or any Licensed Product, but excluding Joint Patents. The Harpoon Patents include the Existing Patents.",Affiliate License-Licensor,Original Corporate,LOW,splits/train.csv,False
"This Agreement shall be interpreted, construed and enforced in all respects in accordance with the laws of the State of Illinois, except with regards to its rules regarding choice of law.",Governing Law,Original Corporate,LOW,splits/train.csv,False
"Term shall mean the Effective Date through June 15, 2001 and any Renewal Term (as defined in paragraph 7.4 herein.)",Expiration Date,Original Corporate,MEDIUM,splits/train.csv,False
The  election by BKC not to exercise its right of first  refusal as to any offer shall not affect its right of first refusal as to any subsequent offer.,Rofr/Rofo/Rofn,Original Corporate,MEDIUM,splits/train.csv,False
The mean response time for server response to access the Service shall not exceed more than 6 seconds during any 1 hour period.,Volume Restriction,Original Corporate,MEDIUM,splits/train.csv,False
[*] will have insurance policies with reputable insurers to provide coverage and amounts that secure its obligations and potential liabilities under this Agreement.,Insurance,Original Corporate,MEDIUM,splits/train.csv,False
"NCC shall not be liable for any loss caused to the Owner or the             Licensee either jointly or severally except for loss of or damage to             the Material to the extent that such loss or damage is caused by the             negligent acts or omissions of NCC, its employees, agents or             sub-contractors and in such event NCC's total liability in respect             of all claims arising under or by virtue of this Agreement shall             not (except in the case of claims for personal injury or death)             exceed the sum of (pounds)500,000.",Cap On Liability,Original Corporate,MEDIUM,splits/train.csv,False
"HSNS agrees to allow E.piphany, directly or indirectly, to audit HSNS's business records as kept by HSNS in its normal course of business to ensure compliance with the terms and conditions of this Agreement.",Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
"Tripath provides an end user limited warranty for retail Products, and one-year limited warranty for OEM products.",Warranty Duration,Original Corporate,MEDIUM,splits/train.csv,False
You must immediately notify us of any changes in the terms of an offer.,Rofr/Rofo/Rofn,Original Corporate,MEDIUM,splits/train.csv,False
Copyright Materials that are jointly created by the Parties shall be jointly owned.,Joint Ip Ownership,Original Corporate,MEDIUM,splits/train.csv,False
"Each Party agrees to obtain and maintain, during the Term and for five (5) years after the Term, commercial general liability insurance, including products liability insurance, with minimum ""A-"" AM Best rated insurance carriers, in each case with limits of not less than five million dollars ($5,000,000) per occurrence and in the aggregate",Insurance,Original Corporate,MEDIUM,splits/train.csv,False
The parties will endeavor to minimize disruption of the Inspected Party's normal business activities to the extent reasonably practicable.,Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
"Except for the transfer and assignment under this Agreement, the Depositor will not transfer or assign any Depositor Transferred Property to another Person or Grant or allow a Lien, other than a Permitted Lien, on an interest in any Depositor Transferred Property.",Non-Transferable License,Original Corporate,MEDIUM,splits/train.csv,False
"For the services to be rendered and facilities to be provided by the Sponsor hereunder, the Trust shall pay Domini a fee accrued daily and payable monthly at an annual rate equal to 0.50% of the Trust's average daily net assets for the Trust's then current fiscal year.",Revenue/Profit Sharing,Original Corporate,MEDIUM,splits/train.csv,False
"If Garman does not receive notice of any deficiencies within ten (10) business days after the completion of the acceptance period, then Sparkling shall be deemed to have accepted the Software at that Authorized Location.",Warranty Duration,Original Corporate,MEDIUM,splits/train.csv,False
"If Glamis does not dispose of the Designated Mineral Property  within a period of 3 months from the first to occur of the date that Glamis and Western Copper  acknowledge failure to negotiate an acceptable agreement with respect to the Designated Mineral  Property and the end of the 30 day period, the provisions of this section 2.2 will once again apply  to any intended disposition of the Designated Mineral Property by Glamis.",Rofr/Rofo/Rofn,Original Corporate,MEDIUM,splits/train.csv,False
"Each of the Parties may, at its own expense, audit the other Party's compliance with this Agreement, including but not limited to, auditing the other Party's representations and warranties.",Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
The certificates shall state the amount of all deductibles and self-insured retentions and shall contain evidence that the policy or policies shall not be canceled or materially altered without at least thirty (30) calendar days prior written notice to Bank of America.,Insurance,Original Corporate,MEDIUM,splits/train.csv,False
"The Operating Principal must supervise the operation of the Franchised Business and must own at least five percent (5%) of the voting and ownership interests in the franchisee entity, unless you obtain our prior",Minimum Commitment,Original Corporate,MEDIUM,splits/train.csv,False
"In the event that the Transfer License is granted, Achaogen shall owe no payments to Microgenics for the first [***] ([***]) months that any Assay commercialized under the Transfer License is commercialized and shall pay a [***] percent ([***]%) royalty on its net sales (i.e., gross sales less all deductions, reductions and offsets reasonably taken in accordance with generally accepted accounting principles in the United States) of Assays commercialized under the Transfer License following the end of such [***] ([***]) month",Revenue/Profit Sharing,Original Corporate,MEDIUM,splits/train.csv,False
All rights and licenses in this Paragraph (b)(1)(i) may be extended to contractors performing work on behalf of FCE but are not otherwise sub-licensable.,Non-Transferable License,Original Corporate,MEDIUM,splits/train.csv,False
"corporate structure or ownership of the Company, or (b) AIG sells the Company to an acquirer, in each case, (i) having a rating from at least one of S&P, Moody's, A.M. Best or a substitute agency, which is a nationally recognized statistical rating organization, that is at least equal to the lower of (x) AIG's then-current rating from such agency or (y) the Company's then-current rating as supported by this Agreement from such agency; or (ii) such that, immediately on the effective date of the modification of corporate structure or sale by AIG of the Company, the Company's capitalization is consistent with the minimum capital adequacy standards and criteria of at least one of S&P, Moody's, A.M. Best or a substitute agency, which is a nationally recognized statistical rating organization, for a rating that is equal to or better than the Company's then-current rating on the date immediately preceding such modification of corporate structure or sale.",Notice Period To Terminate Renewal,Original Corporate,MEDIUM,splits/train.csv,False
Throughput of all data being served directly to the end user shall be           sustained at least 50Kbits/sec as measured by Excite@Home's monitoring           stations in at least 80% of all monitored cases.,Minimum Commitment,Original Corporate,MEDIUM,splits/train.csv,False
EFS agrees that these policies shall not be canceled or materially changed without at least thirty (30) days'  prior written notice to Client.,Insurance,Original Corporate,MEDIUM,splits/train.csv,False
"Excite                   may, upon no less than thirty (30) days prior written notice                   to Sponsor, cause an independent Certified Public Accountant                   to inspect the records of Sponsor reasonably related to the                   calculation of such payments during Sponsor's normal business                   hours.",Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
Monthly Royalty Fee: Five percent (5%) of the Hotel's Gross Rooms   Revenue for the preceding calendar month,Revenue/Profit Sharing,Original Corporate,MEDIUM,splits/train.csv,False
"Such rights to Investor Improvements shall be solely for use by the Company and its Affiliates and shall not be transferable to any Third Party, except in connection with a merger, consolidation, or the sale or transfer of substantially all of Company's assets associated with performance under this IP Agreement.",Non-Transferable License,Original Corporate,MEDIUM,splits/train.csv,False
"The deposit accounts of the Bank are insured by the FDIC up to the applicable limits, and upon consummation of the Conversion, the liquidation accounts for the benefit of Eligible Account Holders will be duly established in accordance with the requirements of the Massachusetts Regulations.",Insurance,Original Corporate,MEDIUM,splits/train.csv,False
"T&B Personality shall make six (6) public appearances each year of the Term, including an appearance at LEA's annual Hall of Fame Symposium, for the purpose of promoting the Business, which appearances may include autograph sessions, book signings, appearances at LEA's workshops, seminars and symposiums with each such session not to exceed four (4) hours",Volume Restriction,Original Corporate,MEDIUM,splits/train.csv,False
SEV shall not be liable for the failure to provide Maintenance Services due to being unable to gain access to Vehicles  through DCL exercising their rights under this Clause 10.,Cap On Liability,Original Corporate,MEDIUM,splits/train.csv,False
The Parties shall work cooperatively toward the appropriate patent or other legal protection of such jointly and equally owned Intellectual Property.,Joint Ip Ownership,Original Corporate,MEDIUM,splits/train.csv,False
"Licensee shall pay to Licensor for maintenance and support and upgrade           services provided under the applicable Sublicense or other written           maintenance and support agreement with or approved by Licensee for           each of the Licensed Products a fee equal to 50% of all revenues           received (without deduction for value added tax, if any) by Licensee           from a Redistributor or Customer relating to maintenance and support           services or services for Upgrades or upgrades of systems for such           Licensed Product.",Revenue/Profit Sharing,Original Corporate,MEDIUM,splits/train.csv,False
"During the Initial Term, iVillage will design and administer, (i) a minimum of [*] online conferences which shall include live chats and the archiving of conference transcripts (dates of such conferences shall be determined by FMM and shall occur approximately once every two months, but not earlier than March 1, 1999 and FMM shall provide iVillage with not less than forty five (45) days advance notice of any conference); (ii) a minimum of [*] online polls; (iii) a minimum of [*] sixty-second surveys; (iv) a minimum of [*] online focus groups; and (v) a minimum of [*] customized turn-key Network sweepstakes (iVillage shall be responsible for all aspects of the sweepstakes other than the prize(s) which shall be provided by Ford Motor Company (""FMC"")).",Minimum Commitment,Original Corporate,MEDIUM,splits/train.csv,False
"During the Term of this Agreement, Premier shall be required to purchase a Minimum Annual Order Volume (""MAOV"") of [***] (""Units"") for each twelve-month period commencing July 1, 2017, and for the six-month period commencing July 1, 2022 and ending December 31, 2022, Premier will be required to purchase [***] Units (the twelve-month periods and the six month period are each a ""Contract Period"").",Minimum Commitment,Original Corporate,MEDIUM,splits/train.csv,False
"Should you, for any reason, fail to procure or maintain the insurance required by this Agreement, as such requirements may be revised from time to time by us in writing, we shall have the right and authority (without, however, any obligation to do so) immediately to procure such insurance and to charge same to you, which charges shall be payable by you immediately upon notice together with a ten percent (10%) administrative fee.",Insurance,Original Corporate,MEDIUM,splits/train.csv,False
"Within one year following completion of all activities under the Research Plan (the ""Selection Deadline""), Anixa, in good faith consultation with OntoChem, will have the right to select up to two hundred (200) Hit Compounds (each, a ""Selected Hit Compound""), by providing OntoChem with written notice of such Selected Hit Compound(s) (the ""Selection Notice""), and each Selected Hit Compound, along with all Variants of such Selected Hit Compound referenced in the Selection Notice, is hereby designated as a ""Lead Scaffold"" under this Agreement.",Volume Restriction,Original Corporate,MEDIUM,splits/train.csv,False
"In addition,          if any such inspection reveals an underpayment of more than five          percent (5%) for the period under audit, Corio shall reimburse          Changepoint for the reasonable cost of the examination.",Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
"The Fund shall also furnish Integrity upon request with: (a) annual audits of the Fund's books and accounts made by independent public accountants regularly retained by the Fund, (b) semi-annual unaudited financial statements pertaining to the Fund, (c) quarterly earnings statements prepared by the Fund, (d) a monthly itemized list of the securities in the portfolio of the Fund, (e) monthly balance sheets as soon as practicable after the end of each month, and (f) from time to time such additional information regarding the Fund's financial condition as Integrity may reasonably request.",Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
"IN NO EVENT SHALL COMPANY'S AGGREGATE LIABILITY ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT EXCEED THE AMOUNTS PAID BY COMPANY TO CONSULTANT UNDER THIS AGREEMENT FOR THE SERVICES, DELIVERABLES OR INVENTION GIVING RISE TO SUCH LIABILITY.",Cap On Liability,Original Corporate,MEDIUM,splits/train.csv,False
"Vericel shall have the right from time to time during the Term of this Agreement, but not more than [***] (unless (i) otherwise agreed between the Parties or (ii) if Section 3.4(b) below applies) during normal business hours and upon not less than [***] prior notice (unless Section 3.4(b)(iv) applies), to enter and inspect any Facility and any related utilities and/or services used in Manufacturing Product in order to carry out a cGMP quality and compliance audit of those parts of the Facility involved in or which could have any impact on Manufacture of such Product (including those used for storing, warehousing and/or testing and utilities), including for the purpose of confirming that no types of product which could reasonably be expected to impact the quality of the Product are being manufactured on site in deviation of cGMP.",Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
The parties intend that any and all goodwill in the Brand arising from Licensee's or any applicable sublicensees' Permitted Activity shall inure solely to the benefit of Licensor.,Ip Ownership Assignment,Original Corporate,MEDIUM,splits/train.csv,False
Owner shall engage an auditor for this purpose no later than 45 days after the  end of each fiscal year.,Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
"Change Orders do not however cover any bug or glitch fixing produced out of the code written by Developer as any ""bug"" will be fixed by Developer for free up to 3 months after final delivery (Bug Fixing Warranty).",Warranty Duration,Original Corporate,MEDIUM,splits/train.csv,False
"If by the expiration of the ROFO Transfer Period, the Farids Group has not completed the Transfer of any ROFO Shares at the ROFO Sales Price or a higher price, in order for the Farids Group to Transfer such ROFO Shares (or any other Shares) it shall be necessary for a new ROFO Sale Notice or ROFR Sale Notice to be delivered, and the terms and provisions of this Article VII to be again complied with.",Rofr/Rofo/Rofn,Original Corporate,MEDIUM,splits/train.csv,False
PPG          SHANGHAI will not accept any claims for discrepancy in delivery beyond          the 48 hours period.,Cap On Liability,Original Corporate,MEDIUM,splits/train.csv,False
"For the rest of the world, the economic rights will be divided as follows: *% Kiromic; *% Molipharma.",Revenue/Profit Sharing,Original Corporate,MEDIUM,splits/train.csv,False
"The Company will compensate Consultant at the rate of $400 per hour (19 hours cap monthly; anything over these hrs must be preapproved by management), payable in accordance with the Company's standard payroll schedule, and subject to withholding as legally required.",Volume Restriction,Original Corporate,MEDIUM,splits/train.csv,False
"In addition to the Retainer Fee, Tournament Bonuses and Money List Bonuses set forth in Paragraphs 8, 9 and 10 above, TPC agrees to pay Consolidated Artists on behalf of Ogle royalty compensation of ten percent (10%) of the net sales of all Endorsed Products distributed or sold during the Contract Period in or to the Countries of Australia and New Zealand (""Royalty Compensation"").",Revenue/Profit Sharing,Original Corporate,MEDIUM,splits/train.csv,False
"(ii) for a period of ninety (90)           days after delivery, the TouchStar Software will perform in all",Warranty Duration,Original Corporate,MEDIUM,splits/train.csv,False
"Company shall have the right, in a manner to avoid unreasonable interruption to RGHI's or its Affiliates' business, to (1) evaluate the effectiveness of the key controls; and (2) upon at least thirty (30) days' written notice to RGHI, perform (through its external auditor) audit procedures over RGHI's internal controls and procedures for the Services provided under this Agreement; provided that such right to audit shall exist solely to the extent reasonably required by Company's external auditors to ensure Company's compliance with the Sarbanes-Oxley Act of 2002.",Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
"At no time during or after the term of this Agreement will the Distributor challenge or assist others to challenge JRVS Trademarks or the registration thereof or attempt to register any trademarks, marks or trade names confusingly similar to those of JRVS. T",Covenant Not To Sue,Original Corporate,MEDIUM,splits/train.csv,False
The         Escrow Agent shall require Commerce One to place in an,Source Code Escrow,Original Corporate,MEDIUM,splits/train.csv,False
"25% of Net Revenue (as defined in Section 1e.) with a COMPANY-RESELLER AGREED UPON SALE PRICE in writing, the case of COMPANY's software products.",Revenue/Profit Sharing,Original Corporate,MEDIUM,splits/train.csv,False
"Maximum Daily Quantity (Dth/Day) per Location:

Begin Date End Date Point(s) of Primary Receipt Point(s) of Primary Delivery MDQ

Maximum Allowable Operating Pressure (MAOP)

11/01/2014 03/31/2015 SOUTH CHESTER 101,300 974 11/01/2014 03/31/2015 DEWARD 101,300 974 04/01/2015 10/31/2015 SOUTH CHESTER 0 974 11/01/2015 03/31/2016 SOUTH CHESTER 101,300 974 11/01/2015 03/31/2016 DEWARD 101,300 974 04/01/2016 10/31/2016 SOUTH CHESTER 0 974 11/01/2016 03/31/2017 SOUTH CHESTER 101,300 974 11/01/2016 03/31/2017 DEWARD 101,300 974 04/01/2017 10/31/2017 SOUTH CHESTER 0 974 11/01/2014 03/31/2015 FARWELL 101,300 974 04/01/2015 10/31/2015 FARWELL 0 974 11/01/2015 03/31/2016 FARWELL 101,300 974 04/01/2016 10/31/2016 FARWELL 0 974 11/01/2016 03/31/2017 FARWELL 101,300 974 04/01/2017 10/31/2017 FARWELL 0 974",Volume Restriction,Original Corporate,MEDIUM,splits/train.csv,False
"Commercial General Liability insurance written on Insurance Services Office (ISO) Form CG 00 01 12 04 or a substitute form providing equivalent coverage, covering liability arising from premises, operations, personal injury, products/completed operations, and liability assumed under an insured contract (including the tort liability of another assumed in a business contract) with limits of at least:

$2,000,000 General Aggregate limit $1,000,000 each occurrence limit for all bodily injury or property damage incurred in any one (1) occurrence $1,000,000 each occurrence limit for Personal Injury and Advertising Injury

Proprietary and Confidential This Agreement and information contained therein is not for use or disclosure outside of AT&T, its Affiliates, and third party representatives, and Vendor except under written agreement by the contracting parties. 26

Source: ATN INTERNATIONAL, INC., 10-Q, 11/8/2019





$1,000,000 each occurrence limit for Products/Completed Operations",Insurance,Original Corporate,MEDIUM,splits/train.csv,False
"In addition, LeadersOnline shall not now or in the future contest the validity of VerticalNet's ownership of its Intellectual Property; provided, however, that LeadersOnline may contest the validity of VerticalNet's Intellectual Property in any proceeding brought against LeadersOnline alleging infringement or misappropriation of VerticalNet's Intellectual Property.",Covenant Not To Sue,Original Corporate,MEDIUM,splits/train.csv,False
"Microgenics shall own all inventions and discoveries made by one or both of the Parties as part of the Research Program, whether or not patentable, relating solely to Microgenics Cell Lines, Microgenics [***] Antibodies, the Assay, Immunoassay Technologies and Microgenics Know-How (""Microgenics Inventions"").",Ip Ownership Assignment,Original Corporate,MEDIUM,splits/train.csv,False
The foregoing right of review may be exercised only once per year and only once with respect to each periodic report and payment delivered in accordance with Section 6.2.,Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
"The Licensee hereby assigns and agrees to assign any rights it may have as a result of its licensed use, including common law rights, in the Licensed Mark, to Licensor.",Ip Ownership Assignment,Original Corporate,MEDIUM,splits/train.csv,False
(ii) access to HSNS's facilities and office support as may be reasonably requested by E.piphany;,Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
"Within the said [***] days, MediWound shall notify CBC of either: (i) its approval and acceptance of such batch sample (""Acceptance Sample Notice""); or (ii) its rejection of the batch sample in which case MediWound shall detail the reason(s) for the rejection of any such Bromelain SP sample",Warranty Duration,Original Corporate,MEDIUM,splits/train.csv,False
"Customer's data traffic between the e-business Hosting Center and the Internet may not exceed Committed Bandwidth, unless otherwise expressly specified in an Attachment.",Volume Restriction,Original Corporate,MEDIUM,splits/train.csv,False
"TouchStar shall provide to Reseller, the Other           Resellers, and its and their employees assistance relating to the           TouchStar Software as reasonably requested by Reseller, but in any           event in an amount not to exceed twenty (20) hours of assistance per           month.",Volume Restriction,Original Corporate,MEDIUM,splits/train.csv,False
If the Minimum Efficiency Level has,Minimum Commitment,Original Corporate,MEDIUM,splits/train.csv,False
"respect to the manufacturing of Bromelain SP, CBC undertakes, at its sole cost and expense, to take out and maintain an ""All risk"" insurance against loss of and destruction or damage to the Facility (including fire, theft and vandalism, etc.), third party liability insurance, product liability insurance for the Bromelain SP and employers liability insurance.",Insurance,Original Corporate,MEDIUM,splits/train.csv,False
"[***] of each Forecast shall constitute a firm order and be a binding commitment on AMAG to purchase the volume of Product, sample Product and Trainers set forth therein (the ""Binding Forecast"").",Minimum Commitment,Original Corporate,MEDIUM,splits/train.csv,False
"If AIRSOPURE fails to notify You of its election to exercise its right of first refusal granted herein within the thirty day period, then You may sell the franchise rights and license or the stock for the amount of the bona fide offer, subject to AIRSOPURE's rights under Section 12.02 above. Any material change in the terms or conditions of any offer prior to closing shall constitute a new offer subject to AIRSOPURE's right of first refusal described herein. If You fail to consummate the transaction within 30 days from the earlier of: (a) receipt of notice from AIRSOPURE that it elects not to exercise its right of first refusal, or (b) expiration of the 15 day period referred to herein, then You must resubmit the proposed transaction to AIRSOPURE, and AIRSOPURE shall have a new 15 day review period and right of first refusal.",Rofr/Rofo/Rofn,Original Corporate,MEDIUM,splits/train.csv,False
The Minimum                   Sell Through Commitment will increase in Years 2 and 3 of this                   Agreement as follows:,Minimum Commitment,Original Corporate,MEDIUM,splits/train.csv,False
"This agreement shall automatically renew for additional successive terms of twelve (12) months each at the end of the Initial Term (""Renewal Terms""), unless either party notifies the other in writing at least sixty (60) days prior to the end of the Initial Term.",Renewal Term,Original Corporate,MEDIUM,splits/train.csv,False
"In addition, the Franchisee shall submit to BKC copies of tax returns relating to the Franchisee's  sales at the Franchised  Restaurant at the same time the returns are filed,  and such other  records as BKC may  reasonably request from time to time.",Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
"Except as provided herein, no member of the Skype Group or the Group may in any manner",Non-Transferable License,Original Corporate,MEDIUM,splits/train.csv,False
"The foregoing license shall be sub-licensable through multiple tiers to Licensees of Bellicum and to Bellicum's and its Licensees' respective Subcontractors (but not to Miltenyi Competitors) solely in conjunction with the use of such Miltenyi Products for the Permitted Use, provided however that Subcontractors shall not have the right to grant sublicenses under Miltenyi Technology).",Non-Transferable License,Original Corporate,MEDIUM,splits/train.csv,False
"During the Term, eDiets.com will be guaranteed 12 million circulation per year from and after the Effective Date via newsletters, including but not limited to:      >>  Fashion & Beauty Newsletter: 300,000 subscribers per month      >>  Food News: 180,000 subscribers per month      >>  Prevention: 1,600,000 subscribers per month      >>  Internet Scopes:  2,400,000 subscribers per month      >>  Sex & Romance: 120,000 subscribers per month      >>  What's New: 1,100,000 subscribers per month      >>  Women.com Member Newsletter: 1,700,000 subscribers per month

Guaranteed Circulation Per Year:            12,000,000",Minimum Commitment,Original Corporate,MEDIUM,splits/train.csv,False
"At a minimum, Reseller will subscribe for and maintain           during the Term and for a period of two (2) years thereafter,           commercial general liability insurance and errors and omission           insurance in minimum amounts of Two Million Dollars (US$2,000,000) per           occurrence.",Insurance,Original Corporate,MEDIUM,splits/train.csv,False
"(v)ebix shall       not (a) hold itself out as having any proprietary rights with respect to       the About Marks or (b) make any claim to ownership rights in the About       Marks or challenge the About Marks or the registration thereof, or (c)       attempt to register or cause to be registered the About Marks or create or       use or attempt to register or cause to be registered any marks or trade       names that are confusingly similar to the About Marks, or (d) use the       About Marks hereunder without About's approval of such use.",Covenant Not To Sue,Original Corporate,MEDIUM,splits/train.csv,False
"KI, Inc. shall be entitled to a copy of the





then prevailing certificate of insurance, which shall be furnished KI, Inc. by Diplomat.",Insurance,Original Corporate,MEDIUM,splits/train.csv,False
Party B shall have a right to obtain copies of all of the Joint Venture Company's accounting books and other documents at their own expense but the originals thereof shall be left in the care of Party A.,Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
"In consideration of the rights granted by Licensee to Fox and VGSL pursuant to this Agreement, Fox shall pay to Licensee, or such other party as Licensee may designate in writing, a royalty in the following amounts:

(i) Distribution in Japan. In the event that Fox distributes, licenses, or otherwise exploits the Wireless Products in Japan pursuant to Paragraph 2(c)(iii), or grants to any third party any rights to distribute the Wireless Products for the Wireless Platform to end users within Japan, or otherwise uses in Japan any elements of the Fox Intellectual Property (as defined in Paragraph 11(a) that are solely attributable to Licensee's development efforts pursuant to this Agreement, Fox agrees to pay Licensee a royalty in the amount of ***** percent (*****%) of Fox's gross receipts for any such activity, which shall be defined as all monies actually received by Fox for the Wireless Products or other such elements of the PSM, less any Deductions.",Revenue/Profit Sharing,Original Corporate,MEDIUM,splits/train.csv,False
The frequency of such audits as well as the response time with respect to audit findings shall be governed by the Quality Agreement.,Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
"If AbbVie notifies Harpoon in writing within [***] after receipt of such copy that AbbVie wishes to receive a license or sublicense (as applicable) under, and be subject to the rights and obligations of, the Proposed Future In-Licensed Rights as they apply to AbbVie and this Agreement, then the Proposed Future In-Licensed Rights shall automatically be included in the Harpoon Patents and/or Harpoon Know-How (as applicable) hereunder and AbbVie agrees to abide by all applicable terms and conditions of such license, sublicense or other agreement, as it relates to AbbVie and this Agreement, including payment of any financial obligations based upon AbbVie's practice of such intellectual property rights.",Rofr/Rofo/Rofn,Original Corporate,MEDIUM,splits/train.csv,False
Audits and inspections           shall not interfere unreasonably with Co-Host's business activities.],Audit Rights,Original Corporate,MEDIUM,splits/train.csv,False
