clause_text,clause_type,domain
the ____ day of _______________2000,Effective Date & Parties,Original Corporate
"CHANNEL PARTNER'S PAYMENT OBLIGATIONS, LIABILITY FOR EARLY TERMINATION FEES OR CHARGES, BREACHES OF CONFIDENTIALITY BY EITHER PARTY, MISAPPROPRIATION OF INTELLECTUAL PROPERTY RIGHTS OF THE OTHER PARTY, AND THE PARTIES' INDEMNIFICATION OBLIGATIONS UNDER THIS AGREEMENT ARE EXCLUDED FROM THESE LIMITATIONS OF LIABILITY.",Limitation of Liability,Original Corporate
"The compensation of the Employee shall be INR 100,000 per month, payable in accordance with Company policy.",Salary/Compensation,Employment
Any notice required to be given under this deed shall be sent by Speed Post or courier to the registered office address.,Notices,General
"The Employee shall be on probation for a period of 6 months, extendable at the discretion of the Company.",Notice Period / Termination,Employment
The Receiving Party agrees to keep all proprietary information confidential and protect it with reasonable care.,Confidentiality,NDA/Confidentiality
All technical and commercial data disclosed under this NDA shall remain the exclusive property of the Disclosing Party.,Confidentiality,NDA/Confidentiality
Copyright Materials that are jointly created by the Parties shall be jointly owned.,Intellectual Property,Original Corporate
"Astellas shall have the exclusive right to market, sell and distribute the Lead Compounds supplied by FG for use in the Astellas Territory within the Field under the license granted in Article 13.",Exclusivity,Original Corporate
The parties shall present this document for registration before the Sub-Registrar of Kolkata within 30 days.,Stamp Duty & Registration,Property
"All expenses relating to the registration of this sale deed, stamp paper, and advocate fees shall be paid by the Buyer.",Stamp Duty & Registration,Property
Society maintenance charges and property taxes shall be paid solely by the Landlord during the lease term.,Maintenance & Utilities,Rental
"Upon execution of this deed, the Buyer shall become the sole and absolute owner of the scheduled property.",Possession & Transfer,Property
"Site Functionality or technology, software, code, user interfaces or ""look and feel"" related thereto or incorporated therein, such items shall be deemed ACSI Derivative Works in their entirety and not Joint Works or Company Intellectual Property.",Intellectual Property,Original Corporate
"Any dispute or difference arising out of this agreement shall be referred to sole arbitration in Hyderabad under the Arbitration and Conciliation Act, 1996.",Arbitration & Dispute Resolution,General
"The Landlord shall be responsible for major structural repairs, while routine maintenance shall be borne by the Tenant.",Maintenance & Utilities,Rental
Except as provided in this Section 6.2.1 (Restrictions on BLI) and the scope of rights granted to,Exclusivity,Original Corporate
"Notices shall be deemed served when delivered by hand, registered post, or confirmed email transmission.",Notices,General
"Bellicum Pharmaceuticals, Inc.",Effective Date & Parties,Original Corporate
"The Tenant shall pay electricity, water, and gas charges based on actual consumption directly to the utility providers.",Maintenance & Utilities,Rental
"Notwithstanding the foregoing, this OMA may be terminated with or without cause at any time after the Effective Date and without liability or continuing obligation by any of the Parties hereto (i) by mutual written agreement of all of the Parties; and (ii) in writing by the Trust Advisors in their sole discretion.",Notice Period / Termination,Original Corporate
"Unless otherwise instructed by Sonos in writing, IAC is not authorized at any time to sell Custom Components to any third party or IAC Affiliate.",Non-Compete,Original Corporate
"For a period of 6 months post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
All legal relationships between the parties shall be subject to the laws of the Republic of India.,Governing Law,General
Either party may terminate this employment agreement by giving 30 days' written notice or salary in lieu thereof.,Notice Period / Termination,Employment
"All expenses relating to the registration of this sale deed, stamp paper, and advocate fees shall be paid by the Buyer.",Stamp Duty & Registration,Property
MSL will warrant its workmanship for [*] months unless other                   stated in the applicable Product Attachment.,Warranty Duration,Original Corporate
"All expenses relating to the registration of this sale deed, stamp paper, and advocate fees shall be paid by the Buyer.",Stamp Duty & Registration,Property
"In no event shall either party be liable to the other for indirect, special, or consequential damages.",Limitation of Liability,General
All notices under this agreement shall be in writing and sent to the address specified in the recitals.,Notices,General
The Supplier agrees to supply the Products exclusively to the Buyer within the territory of India during the term.,Exclusivity,Business
"The Publishers and/or their auditors, at no expense to HealthGate,             and upon twenty (20)Business Days' written notice to HealthGate,             shall have the right to conduct a system backup and disaster             recovery audit with regard to the Services provided pursuant to this             Agreement.",Other Corporate,Original Corporate
"The Developer shall not develop, maintain or market a similar platform and will not compete with the Client directly or indirectly worldwide.",Non-Compete,Original Corporate
"The licenses granted in Sections 3.01(a), (b) and (c) to the SpinCo Group include the right to grant sublicenses within the scope of such licenses only to members of the SpinCo Group and, without any further right to sublicense, to their respective (i) contractors, distributors, manufacturers and resellers, in each case solely for the benefit of the SpinCo Business, and (ii) end users and customers, in each case solely in connection with the use of products and services of the SpinCo Business.",License Grant,Original Corporate
All equipment supplied is covered by a manufacturer warranty of 24 months against manufacturing defects.,Warranty Duration,Service
"Zebra Technologies International, LLC",Effective Date & Parties,Original Corporate
"You further acknowledge that the Intranet facility and all communications that are posted to it will become our property, free of any claims of privacy or privilege that you or any other person may assert.",Intellectual Property,Original Corporate
"Any dispute or difference arising out of this agreement shall be referred to sole arbitration in Pune under the Arbitration and Conciliation Act, 1996.",Arbitration & Dispute Resolution,General
"Notices shall be deemed served when delivered by hand, registered post, or confirmed email transmission.",Notices,General
The Exclusivity Period shall commence on the Effective Date and expire on the third anniversary thereof.,Exclusivity,Business
"During the Term and any renewal terms of the Agreement, and for a period of one (1) year following the expiration or earlier termination thereof, Customer shall not, whether for its own account or for the account of any other person or entity, interfere with the relationship of Kubient with, or endeavor to entice away from Kubient, any person or entity who was or is a an employee or Third-Party of Kubient.",Non-Compete,Original Corporate
"Neither party may assign this Agreement without the other's           prior written approval, except by operation of law or in connection           with the sale of substantially all of the assets of such party's           business or the acquisition of such party by a third party.",Other Corporate,Original Corporate
This Agreement shall be effective on the Effective Date and shall terminate in accordance with this Article.,Effective Date & Parties,Original Corporate
"This Agreement will be interpreted, construed and enforced in accordance with the Laws of the State of Washington, without reference to its choice of Laws rules.",Governing Law,Original Corporate
"All expenses relating to the registration of this sale deed, stamp paper, and advocate fees shall be paid by the Buyer.",Stamp Duty & Registration,Property
"Disputes shall be resolved by arbitration in accordance with the rules of the Indian Arbitration Act, with the venue of arbitration in Kolkata.",Arbitration & Dispute Resolution,General
This agreement commences upon execution of this document.,Effective Date & Parties,Original Corporate
"In the event that the Agreement is terminated pursuant to Section           16.a.v. due to e-centives' acquisition by an Excite@Home Named           Competitor, or by an entity controlling or controlled by an           Excite@Home Named Competitor, e-centives or its assigns or designates           may not contact any Users for whom User Data has been provided           pursuant to this Agreement, excluding those that have opted out in           accordance with Section 5(a) of Exhibit D.",Non-Compete,Original Corporate
The arbitration proceedings shall be conducted in English and the seat of arbitration shall be Bengaluru.,Arbitration & Dispute Resolution,General
"The Lessee agrees to pay a monthly rent of Rs. 42,000 net of all deductions to the Lessor.",Rent,Rental
"The Tenant shall pay monthly rent of Rs. 70,000 to the Landlord on or before the 7th day of each calendar month.",Rent,Rental
Either party may terminate this employment agreement by giving 90 days' written notice or salary in lieu thereof.,Notice Period / Termination,Employment
The Seller warrants that the goods will be free from material defects for a period of 90 days from delivery.,Warranty Duration,Service
"In addition, Party A shall not use the functions and information provided by Party B to carry out any commercial activities.",License Grant,Original Corporate
"The Landlord shall be responsible for major structural repairs, while routine maintenance shall be borne by the Tenant.",Maintenance & Utilities,Rental
"Upon execution of this deed, the Buyer shall become the sole and absolute owner of the scheduled property.",Possession & Transfer,Property
"Dynamic Hearing is not liable in any way to IntriCon for any indirect, consequential, third party, special or incidental  harm, liability, expense, cost, loss or damage, loss of profits, loss of data, exemplary damages or any other indirect  commercial or economic loss of any kind whatsoever incurred by IntriCon whether in negligence, tort, equity, contract  or otherwise, arising in connection with this Agreement;",Limitation of Liability,Original Corporate
"The Company shall not contact any of Distributor's Customer's for any reason, without the prior written approval of Distributor.",Non-Compete,Original Corporate
"The sublicense rights granted to Certegy pursuant to Section 4.1(a) include the right for Certegy to grant sublicenses to the Licensed Equifax Materials (excluding the Utility Software Programs) to the members of the Certegy Group, which sublicenses may include the right to further sublicense such Licensed Equifax Materials (excluding the Utility Software Programs) to such Group member's customers solely for each such customer's internal business purposes to the extent related to the Certegy Business.",License Grant,Original Corporate
"Without Party A's consent, Party B may not enter into with any third party any agreement or cooperation which is identical with or similar to  this Agreement.",Exclusivity,Original Corporate
A party wishing to renew this Agreement shall give the other party notice thereof no less than thirty (30) days before the expiration of the term then in effect.,Notice Period / Termination,Original Corporate
"OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Limitation of Liability,Original Corporate
"The Tenant shall pay monthly rent of INR 42,000 to the Landlord on or before the 7th day of each calendar month.",Rent,Rental
The premises shall be used only for residential purposes. The Tenant shall not use the premises for any commercial activity.,Use of Premises,Rental
All equipment supplied is covered by a manufacturer warranty of one year against manufacturing defects.,Warranty Duration,Service
"EXCEPT FOR A PARTY'S OBLIGATIONS SET FORTH IN THIS ARTICLE 13, AND ANY BREACH OF ARTICLE 10 (CONFIDENTIALITY), IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER PARTY (OR THE OTHER PARTY'S AFFILIATES OR SUBLICENSEES) IN CONNECTION WITH THIS AGREEMENT FOR LOST REVENUE, LOST PROFITS, LOST ROYALTIES, LOST SAVINGS, LOSS OF USE, DAMAGE TO GOODWILL, OR ANY CONSEQUENTIAL, INCIDENTAL, SPECIAL, EXEMPLARY, PUNITIVE OR INDIRECT DAMAGES IN CONNECTION WITH THIS AGREEMENT, HOWEVER CAUSED, UNDER ANY THEORY OF LIABILITY, INCLUDING CONTRACT, NEGLIGENCE, OR STRICT LIABILITY, EVEN IF THAT PARTY HAS BEEN PLACED ON NOTICE OF THE POSSIBILITY OF SUCH DAMAGES.",Limitation of Liability,Original Corporate
The Party seeking to enforce such infringement claims [***] of any suit brought by it claiming infringement of any Joint Patent. T,Intellectual Property,Original Corporate
"From the Effective Date and for twelve (12) months after the termination of this Agreement (the ""Restricted Period""), Consultant shall not, without Aduro's prior written consent, directly or indirectly, solicit or encourage any employee or contractor of Aduro or its affiliates to terminate employment with, or cease providing Services to, Aduro or its affiliates.",Non-Compete,Original Corporate
"ArTara, Affiliates, and sublicensees will obtain and maintain commercial general liability insurance with a reputable and financially secure insurance carrier prior to clinical testing, making, using, importing, offering to sell, or selling any licensed Product or engaging in any other act involving any licensed Product or the patent rights, if such act could possibly create risk of a claim against University Indemnitees for personal injury or property damage.",Other Corporate,Original Corporate
"The parties submit to the exclusive jurisdiction of the competent courts located within the city of Mumbai, India.",Jurisdiction & Venue,General
The Developer recognizes that the complete Intellectual Property of the project belongs to the Client,Intellectual Property,Original Corporate
"The occurrence of a force majeure event (such as earthquake, flood, pandemic, or labor strike) shall suspend performance obligations.",Force Majeure,General
"The Vendor hereby sells, transfers, and conveys all rights, title, and interest in the Property to the Purchaser.",Possession & Transfer,Property
"If and to the extent that any Work Product is found as a matter of law not to be a ""work made for hire"" within the meaning of the Act, Surgical agrees to assign, and by this Agreement and Surgical's signature below, Surgical hereby does assign to Imprimis all right, title and interest in and to Work Product, and all copies thereof, and the copyright, patent, trademark, trade secret and all other proprietary rights in Work Product.",Intellectual Property,Original Corporate
The Seller covenants that they have absolute clear title to the property and full legal right to convey the same.,Possession & Transfer,Property
This       Attachment will automatically be renewed for periods of six (6) months       unless either party gives twelve (12) months written notice of its intent       to terminate this Agreement.,Notice Period / Termination,Original Corporate
Any assignment not in accordance with this Section 11.1 shall be void.,Other Corporate,Original Corporate
"The Tenant shall pay monthly rent of Rs. 50,000 to the Landlord on or before the 5th day of each calendar month.",Rent,Rental
The Lessee shall use the leased premises solely for office space and commercial activities permitted by local laws.,Use of Premises,Rental
"Any dispute or difference arising out of this agreement shall be referred to sole arbitration in Hyderabad under the Arbitration and Conciliation Act, 1996.",Arbitration & Dispute Resolution,General
"During the Term of this Agreement, PlanetCAD shall be permitted to market new functions and services relating to the Co-Branded Service directly to Dassault Systemes Customers with Dassault Systemes prior written approval, but only to the extent such functions and services are offered by PlanetCAD on the PlanetCAD Web site(s).",Exclusivity,Original Corporate
All notices under this agreement shall be in writing and sent to the address specified in the recitals.,Notices,General
"6. Mix of competing business

Amend the pattern of the Union product or competing business to mislead users.",Non-Compete,Original Corporate
"Upon not less than thirty (30) days' prior written notice and not more than once in any calendar year, Affiliate shall have the right, at its sole cost and expense, during the Term and for one (1) year thereafter, to examine during normal business hours the books and records of Network for up to the prior calendar year and the then-current calendar year solely to the extent reasonably necessary to verify the Revenue Share Records.",Other Corporate,Original Corporate
"Disputes shall be resolved by arbitration in accordance with the rules of the Indian Arbitration Act, with the venue of arbitration in Ahmedabad.",Arbitration & Dispute Resolution,General
"""Arizona Licensed Patents"" means the Patents set forth on Schedule 1.1(l) and all other Patents owned by Licensing or Seller or their respective Affiliates as of the Effective Date and used or held for use in the Company Field during the five (5) years prior to the Effective Date (other than the Arizona Assigned Patents).",License Grant,Original Corporate
"Dolphin will provide photo-editing services exclusively, at DGT option, when the number of downloaded photos to be edited by Dolphin totals 50,000 in a single year;",Exclusivity,Original Corporate
"NOTWITHSTANDING ANY OTHER PROVISION OF THIS AGREEMENT, JHU ADDITIONALLY DISCLAIMS ALL OBLIGATIONS AND LIABILITIES ON THE PART OF JHU AND INVENTORS, FOR DAMAGES, INCLUDING, BUT NOT LIMITED TO, DIRECT, INDIRECT, SPECIAL, AND CONSEQUENTIAL DAMAGES, ATTORNEYS' AND EXPERTS' FEES, AND COURT COSTS (EVEN IF JHU HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES, FEES OR COSTS), ARISING OUT OF OR IN CONNECTION WITH THE MANUFACTURE, USE, OR SALE OF THE LICENSED PRODUCTS AND LICENSED SERVICES UNDER THIS AGREEMENT.",Limitation of Liability,Original Corporate
All notices under this agreement shall be in writing and sent to the address specified in the recitals.,Notices,General
The covenant not to compete restricts the Employee from joining rival tech companies for 1 year in the region of Chennai.,Non-Compete,Employment
"This Agreement shall be governed by, interpreted, and construed in accordance with the substantive laws of India.",Governing Law,General
All technical and commercial data disclosed under this NDA shall remain the exclusive property of the Disclosing Party.,Confidentiality,NDA/Confidentiality
"""Contract Period"" shall mean that period of time commencing as of May 31, 1999 and concluding May 31, 2000.",Effective Date & Parties,Original Corporate
"In no event shall either party be liable to the other for indirect, special, or consequential damages.",Limitation of Liability,General
"The Lessee has paid a sum of Rs. 84,000 as interest-free security deposit to the Lessor, refundable upon termination.",Security Deposit,Rental
"Except as set forth in Sections 4.3  [Non-Competition] and 5.8  [Non-Competition], nothing in this Agreement shall be construed as preventing either party from developing other co-branded versions of its materials, data, information and content.",Exclusivity,Original Corporate
"The Lessee has paid a sum of INR 72,000 as interest-free security deposit to the Lessor, refundable upon termination.",Security Deposit,Rental
"corporate structure or ownership of the Company, or (b) AIG sells the Company to an acquirer, in each case, (i) having a rating from at least one of S&P, Moody's, A.M. Best or a substitute agency, which is a nationally recognized statistical rating organization, that is at least equal to the lower of (x) AIG's then-current rating from such agency or (y) the Company's then-current rating as supported by this Agreement from such agency; or (ii) such that, immediately on the effective date of the modification of corporate structure or sale by AIG of the Company, the Company's capitalization is consistent with the minimum capital adequacy standards and criteria of at least one of S&P, Moody's, A.M. Best or a substitute agency, which is a nationally recognized statistical rating organization, for a rating that is equal to or better than the Company's then-current rating on the date immediately preceding such modification of corporate structure or sale.",Notice Period / Termination,Original Corporate
"For a period of 12 months post-termination, the Employee shall not work for any direct competitor in India.",Non-Compete,Employment
"The Lessee agrees to pay a monthly rent of INR 20,000 net of all deductions to the Lessor.",Rent,Rental
"Subject to Article 22.2, this Agreement shall remain in force for an Initial Period of 1 year, which may be renewed by mutual consent for such period as the Parties may agree (""Term""), unless it is terminated earlier in accordance with this Agreement or for any of the following reasons:",Notice Period / Termination,Original Corporate
"The Joint Venture is a fixed term Joint Venture beginning November 27, 2018 and ending November 30th, 2019 or as otherwise provided in this Agreement.",Effective Date & Parties,Original Corporate
"The Vendor hereby sells, transfers, and conveys all rights, title, and interest in the Property to the Purchaser.",Possession & Transfer,Property
The total liability of the Company under this agreement shall be limited to the fees actually paid during the preceding 12 months.,Limitation of Liability,General
"All sublicensing by Equifax and other members of the Equifax Group to any one of their customers shall be pursuant to written agreements with such customer, executed before or at the time of furnishing each copy of the Licensed Certegy Materials (excluding the Utility Software Programs) to such customer, and which provide at a minimum that such customer:

          (i)   receives only a personal, non-transferable and nonexclusive                 right to use such copy of the Licensed Certegy Materials                 (excluding the Utility Software Programs);

          (ii)  receives no title in the intellectual property contained in the                 Licensed Certegy Materials (excluding the Utility Software                 Programs);

          (iii) will not copy the Licensed Certegy Materials (excluding the                 Utility Software Programs), except as necessary to use such                 Licensed Certegy Materials (excluding the Utility Software                 Programs) in accordance with the license grant and to make one                 archival copy;

          (iv)  will not export or re-export the Licensed Certegy Materials                 (excluding the Utility Software Programs) without the                 appropriate United States or foreign government licenses;

          (v)   will hold the Licensed Certegy Materials (excluding the Utility                 Software Programs) in confidence; will not reverse compile or                 disassemble the Licensed Certegy Materials (excluding the                 Utility Software Programs); will not remove or destroy any                 proprietary markings of the licensor on or contained in the                 Licensed Certegy Materials (excluding the Utility Software                 Programs); and will include the copyright and patent notices of                 the licensor as specified from time to time by the licensor for                 the Licensed Certegy Materials (excluding the Utility Software                 Programs) on and in all copies of the Licensed Certegy Materials                 (excluding the Utility Software Programs); and

          (vi)  will not sublicense, assign or otherwise transfer the Licensed                 Certegy Materials (excluding the Utility Software Programs) to                 any other Person.",License Grant,Original Corporate
"For clarity, a Competitive Transaction shall not include an agreement for use, integration or interfacing, or co-marketing, of the Ehave Companion Solution with other services, solutions, devices, goods or products, where such other services, solutions, devices, goods or products do not contain the same or similar functionality of the Ehave Companion Solution, but provides for a complementary solution.",Exclusivity,Original Corporate
doing business  as  Pretzel  Time,Effective Date & Parties,Original Corporate
"A ""Competitive Business"" shall not include a full-service restaurant.",Exclusivity,Original Corporate
The Seller warrants that the goods will be free from material defects for a period of one year from delivery.,Warranty Duration,Service
Either Party may terminate this Agreement at any time prior to delivery of the Product.,Notice Period / Termination,Original Corporate
"The occurrence of a force majeure event (such as earthquake, flood, pandemic, or labor strike) shall suspend performance obligations.",Force Majeure,General
No party shall disclose the terms or financial details of this transaction to any third party without written consent.,Confidentiality,NDA/Confidentiality
"For purposes of clarity, the foregoing does not prevent   Conformis from granting any license, release, covenant not to sue or other immunity to any third party under any Patents, including   any such immunity that would authorize manufacture, use or sale of Patient-Specific Instrumentation for Off-The-Shelf Knee   Implants outside the Buyer Field.",Exclusivity,Original Corporate
"This JSMA will be terminated as of the end of the Term or any Renewal Term, by either Party giving written notice of non-renewal to the other Party no less than 120 prior to the applicable expiry date (the ""Termination Period"").",Notice Period / Termination,Original Corporate
"For the avoidance of doubt, subject to, and without limiting or amending the exclusivity restrictions and confidentiality obligations set forth in Section 6.1 and ARTICLE 17 of the Development and License Agreement, respectively, Antares or its Subcontractor may manufacture the VIBEX® QS device or other devices (other than the Device) for itself or other Persons.",Exclusivity,Original Corporate
This Letter shall be governed by and construed in accordance with the laws of the State of New York without reference to any rules of conflict of laws.,Governing Law,Original Corporate
"THE LIABILITY OF EITHER PARTY FOR DAMAGES OR ALLEGED DAMAGES      HEREUNDER (EXCEPT UNDER SECTIONS 15 AND 16), WHETHER IN CONTRACT, TORT OR      ANY OTHER LEGAL THEORY, IS LIMITED TO, AND WILL NOT EXCEED, THE AMOUNTS TO      BE PAID BY CLIENT TO INTUIT HEREUNDER.",Limitation of Liability,Original Corporate
"During the probation period, either party may terminate employment by giving 7 days' notice.",Notice Period / Termination,Employment
"The occurrence of a force majeure event (such as earthquake, flood, pandemic, or labor strike) shall suspend performance obligations.",Force Majeure,General
"The parties submit to the exclusive jurisdiction of the competent courts located within the city of Pune, India.",Jurisdiction & Venue,General
The Employee shall not engage in any business competing with the Employer's activities during employment and for 1 year thereafter.,Non-Compete,Employment
All of the above described warranty periods will commence on the             date that the Products containing the above Parts are delivered to             IBM.,Warranty Duration,Original Corporate
"In the event that XENCOR pays the Technology Access Fee set forth above, XENCOR shall have the right to use or have used (e.g. by a Business Partner) the Process worldwide for the manufacture of Product in accordance with the terms and conditions of this Agreement, without entering into a contract manufacturing agreement with BII",License Grant,Original Corporate
"The Lessee agrees to pay a monthly rent of INR 69,000 net of all deductions to the Lessor.",Rent,Rental
"The Tenant shall pay monthly rent of Rs. 58,000 to the Landlord on or before the 10th day of each calendar month.",Rent,Rental
The courts of law at Ahmedabad shall have exclusive jurisdiction to try and settle any disputes arising under this deed.,Jurisdiction & Venue,General
"The Vendor hereby sells, transfers, and conveys all rights, title, and interest in the Property to the Purchaser.",Possession & Transfer,Property
"NO PARTY SHALL BE LIABLE FOR CONSEQUENTIAL, INCIDENTAL, PUNITIVE, EXEMPLARY OR INDIRECT DAMAGES, LOST PROFITS OR OTHER BUSINESS INTERRUPTION DAMAGES, BY STATUTE, IN TORT OR CONTRACT, OR OTHERWISE; PROVIDED, HOWEVER, THAT THIS LIMITATION SHALL NOT LIMIT A PARTY'S RIGHT TO RECOVERY HEREUNDER FOR ANY SUCH DAMAGES TO THE EXTENT SUCH PARTY IS REQUIRED TO PAY SUCH DAMAGES TO A THIRD PARTY IN CONNECTION WITH A MATTER FOR WHICH SUCH PARTY IS OTHERWISE ENTITLED TO INDEMNIFICATION HEREUNDER",Limitation of Liability,Original Corporate
"the parties under this Agreement shall be governed by and construed in      accordance with the laws of the State of California, U.S.A., except that      body of law concerning conflicts of laws.",Governing Law,Original Corporate
Any notice required to be given under this deed shall be sent by Speed Post or courier to the registered office address.,Notices,General
All equipment supplied is covered by a manufacturer warranty of 90 days against manufacturing defects.,Warranty Duration,Service
Reseller will not make an offer of,Non-Compete,Original Corporate
The Employee shall not engage in any business competing with the Employer's activities during employment and for 12 months thereafter.,Non-Compete,Employment
The total liability of the Company under this agreement shall be limited to the fees actually paid during the preceding 12 months.,Limitation of Liability,General
"The software warranty period shall be 90 days, during which the Licensor will fix any critical bugs free of charge.",Warranty Duration,Service
"The Lessee agrees to pay a monthly rent of INR 64,000 net of all deductions to the Lessor.",Rent,Rental
"Media Liability insurance with limits not less than $2,000,000 per occurrence and aggregate.",Other Corporate,Original Corporate
"This Agreement shall terminate (i) the Business Day immediately following the Remarketing Settlement Date, (ii) at 5:00  p.m., New York City time, on the last date of the Remarketing if the Remarketing is not successful or (iii) on the effective date of the resignation or  removal of the Remarketing Agent and the appointment of a new Remarketing Agent.",Notice Period / Termination,Original Corporate
"Neither party shall be held liable for any delay or failure in performance due to acts of God, war, lockouts, or government restrictions.",Force Majeure,General
The maximum aggregate liability of the Vendor shall not exceed the sum of INR 2 Lakhs.,Limitation of Liability,General
Any rights or license granted under this Article VI to a     -----------------                                                               corporation or other legal entity which becomes a Subsidiary of a Party at a     date later than the Effective Date shall become effective as of the date     upon which such corporation or other legal entity becomes a Subsidiary of     such Party.,License Grant,Original Corporate
"""Nortel Patents"" shall mean all Patents other than Patents included in NTL  --------------                                                            Technology: (i) which are owned or controlled at any time during the Patent License Term by Nortel or any Nortel Subsidiary; or (ii) with respect to which, and to the extent to which, Nortel or any Nortel Subsidiary shall at any time during the Patent License Term have the right to grant the licenses and rights which are herein granted by Nortel including through cross licenses or otherwise.",License Grant,Original Corporate
Any notice required to be given under this deed shall be sent by Speed Post or courier to the registered office address.,Notices,General
"In addition, Customer may audit Manufacturer's Records and Facilities for the purpose of verifying that Manufacturer's procedures are in accordance with the C-TPAT security criteria, and Manufacturer shall provide Customer with access to Manufacturer's Records and Facilities reasonably necessary for the purpose of conducting such audit.",Other Corporate,Original Corporate
"This Agreement will be effective as of the date of its execution, and term of the Cooperation will be four years from the date on which the channel is uploaded.",Notice Period / Termination,Original Corporate
"The Stamp Duty and registration charges of Rs. 58,000 shall be borne entirely by the Purchaser.",Stamp Duty & Registration,Property
"FG shall have the worldwide exclusive right (itself or through third party vendors) to manufacture (or have manufactured) Lead Compounds. Astellas and its Affiliates and Sublicensees shall not directly or indirectly make, produce or manufacture any Lead Compounds.",Exclusivity,Original Corporate
"During the term of this Agreement, unless otherwise authorized at the sole discretion of ADAMS GOLF in writing, CONSULTANT shall not:   A.give the right to use or permit the use of CONSULTANT'S name, facsimile signature, nickname, voice or likeness to any other manufacturer or seller of PRODUCT;

B.sponsor or endorse PRODUCT made or sold by any other manufacturer or seller; or

C.serve as a CONSULTANT or advisor of any other manufacturer or seller of PRODUCT.",Exclusivity,Original Corporate
Either party may terminate this employment agreement by giving 2 months' written notice or salary in lieu thereof.,Notice Period / Termination,Employment
"Upon execution of this deed, the Buyer shall become the sole and absolute owner of the scheduled property.",Possession & Transfer,Property
"The Tenant shall pay monthly rent of Rs. 26,000 to the Landlord on or before the 5th day of each calendar month.",Rent,Rental
The parties shall present this document for registration before the Sub-Registrar of New Delhi within 60 days.,Stamp Duty & Registration,Property
The total liability of the Company under this agreement shall be limited to the fees actually paid during the preceding 12 months.,Limitation of Liability,General
"A security deposit of INR 88,000 shall be deposited with the Landlord to secure performance under this lease.",Security Deposit,Rental
The Seller covenants that they have absolute clear title to the property and full legal right to convey the same.,Possession & Transfer,Property
The premises shall be used only for residential purposes. The Tenant shall not use the premises for any commercial activity.,Use of Premises,Rental
"You hereby grant to us (and agree to obtain from your affiliates, owners, employees, and/or contractors), a perpetual, non-exclusive, and worldwide right to use any such ideas, concepts, methods, techniques and products in any businesses that we and/or our affiliates, franchisees and designees operate. We will have the right to use those ideas, concepts, methods, techniques, and/or products without making payment to you. You agree not to use or allow any other person or entity to use any such concept, method, technique or product",License Grant,Original Corporate
"The Lessee has paid a sum of Rs. 138,000 as interest-free security deposit to the Lessor, refundable upon termination.",Security Deposit,Rental
The Receiving Party agrees to keep all proprietary information confidential and protect it with reasonable care.,Confidentiality,NDA/Confidentiality
The covenant not to compete restricts the Employee from joining rival tech companies for 12 months in the region of Pune.,Non-Compete,Employment
Society maintenance charges and property taxes shall be paid solely by the Landlord during the lease term.,Maintenance & Utilities,Rental
"in a way that is inconsistent with the Specifications, in which case an audit may be performed at any time during the Term.",Other Corporate,Original Corporate
"In no event shall either party be liable to the other for indirect, special, or consequential damages.",Limitation of Liability,General
"The Tenant shall pay a refundable security deposit of INR 110,000 before taking possession of the premises.",Security Deposit,Rental
"This Agreement and the relationship between the parties is governed by and will be construed exclusively in accordance with the laws of the State of Florida (without regard to, and without applying, Florida conflict-of-law rules).",Governing Law,Original Corporate
"A security deposit of INR 180,000 shall be deposited with the Landlord to secure performance under this lease.",Security Deposit,Rental
"(ii) solicit, participate in or promote the solicitation of any of the Company's clients, customers, or prospective customers with whom Consultant had a Material Contact (hereinafter defined) and/or regarding whom Consultant received Confidential Information, for the purpose of providing products or services (""Competitive Products/Services"").",Non-Compete,Original Corporate
The Seller warrants that the goods will be free from material defects for a period of 90 days from delivery.,Warranty Duration,Service
"For the duration of the Agreement, the Client shall not engage any other service provider for similar consulting services.",Exclusivity,Business
"Each Purchaser Licensee may grant sublicenses of the licenses granted to it pursuant to Section 2.2: (i) to any (for the avoidance of doubt, and without limiting any other provision of this IP Agreement, current or future) direct or indirect Subsidiary of Purchaser (but only for so long as such Person remains such a Subsidiary); (ii) to any other Person in connection with the sale or disposition of substantially all of the assets of a business or product line of any Purchaser Licensee; (iii) other than with respect to Section 2.2(a), for the purpose of any Person's (including resellers, distributors, and OEMs) distribution of products licensed under Section 2.2; (iv) other than with respect to Section 2.2(a), to any Person (including OEMs, JDMs, suppliers, contractors, and subcontractors) solely for the purpose of, and to the extent necessary for, such Person to perform any service (including any service with respect to the design, manufacture, import, export, or supply of any product, service, or system in the Business or any components thereof) for a Purchaser Licensee, and not for the direct benefit of such Person or any other Person, (v) other than with respect to Section 2.2(a), to a customer of a Purchaser Licensee for such customer's use of a product licensed under Section 2.2; or (vi) other than with respect to Section 2.2(a), with respect to Software, to any Person for the purpose of such Person's development of Software that is compatible or interoperates with a product licensed under Section 2.2.",License Grant,Original Corporate
The contract shall in all respects be governed by the laws of India.,Governing Law,General
