clause_text,risk_level,domain,clause_type,is_synthetic
"(10) provide proof, in a format satisfactory to us, that you have obtained all required insurance policies, and have name us, as an additional insurance under all such policies;",medium,Original Corporate,Insurance,False
TENNESSEE GAS PIPELINE COMPANY,low,Original Corporate,Parties,False
"THE VALIDITY, CONSTRUCTION AND ENFORCEABILITY OF THIS AGREEMENT SHALL BE GOVERNED BY THE LAWS OF THE STATE OF MINNESOTA, WITHOUT GIVING EFFECT TO CONFLICT OF LAWS PRINCIPLES THEREOF.",low,Original Corporate,Governing Law,False
"This contract shall be for a term of one year commencing on the date first above written; thereafter, it shall automatically continue until terminated by either party upon not less than thirty (30) days prior written notice to the other party.",high,Original Corporate,Expiration Date,False
"Company shall have the right, in a manner to avoid unreasonable interruption to RGHI's or its Affiliates' business, to (1) evaluate the effectiveness of the key controls; and (2) upon at least thirty (30) days' written notice to RGHI, perform (through its external auditor) audit procedures over RGHI's internal controls and procedures for the Services provided under this Agreement; provided that such right to audit shall exist solely to the extent reasonably required by Company's external auditors to ensure Company's compliance with the Sarbanes-Oxley Act of 2002.",medium,Original Corporate,Audit Rights,False
"In addition, Impresse shall not now or in the future contest the validity of VerticalNet's ownership of its Intellectual Property; provided, however, that Impresse may contest the validity of VerticalNet's Intellectual Property in any proceeding brought against Impresse alleging infringement or misappropriation of VerticalNet's Intellectual Property.",medium,Original Corporate,Covenant Not To Sue,False
"Licensor hereby grants to Licensee a non-exclusive, irrevocable, sublicensable license to use the Software in its daily business operations.",medium,Original Corporate,License Grant,True
Sumitomo Mitsui Banking Corporation,low,Original Corporate,Parties,False
"Before expiration of the Term, either Party may terminate this Agreement upon: (i) any material breach of the Agreement by the other Party, if such breach is not remedied to the reasonable satisfaction of the non-breaching Party within ten (10) business days after written notice; (ii) ten (10) business days written notice to the other Party whenever the notifying Party in its sole discretion determines that the continuation of the Agreement will damage its reputation or good will; or (iii) written notice in the event one Party (a) becomes or is declared insolvent or bankrupt or is subject to the appointment of a trustee or receiver or any equivalent thereof, (b) is the subject of any proceeding related to its liquidation or insolvency (whether voluntary or involuntary) which is not dismissed within ninety (90) days, (c) makes an assignment for the benefit of creditors, or (d) is subject to any sale, lease or other transfer of all or substantially all of its assets to any entity; or (e) is subject to a change of control (whether by merger, stock transfer or otherwise), except in the case of an initial public offering.",high,Original Corporate,Change Of Control,False
Either party may terminate this Agreement by giving the other party at least 15 days written notice.,low,Rental,Termination,True
"Owner shall deliver  notice of any such assignment, pledge or transfer to Service Provider in writing as soon as reasonably practicable thereafter.",high,Original Corporate,Anti-Assignment,False
"Such Promotion Fees shall be calculated by:

(a) the following formula for the period from the Effective Date through September 30, 2010:

For example: if during the month of March 2010 (a) (A) above was 2,000 TRx and (B) above was $36.50 then MBRK  would be remit $36,500.00 to DD.

OR

(b) the following formula for the period from October 1, 2010 through termination of this Agreement:

  (A)   the Actual DD Target Segment MOXATAG TRx for the Promotional Measurement Period multiplied by:      (B)   the applicable Gross Margin Per TRx multiplied by:      (C)   50%.

  (A)   the Actual DD Target Segment MOXATAG TRx Tablets for the Promotional Measurement Period multiplied by:      (B)   the applicable Gross Margin Per Tablet multiplied by:      (C)   50%.",high,Original Corporate,Revenue/Profit Sharing,False
The Employee shall not engage in any competing business during the term of employment within a 5 km radius of the office.,low,Employment,Non-Compete,True
This Agreement is governed by and shall be construed in      accordance with the laws of Hong Kong,low,Original Corporate,Governing Law,False
"This Agreement shall be automatically renewed for successive three (3) year terms thereafter (each a ""Renewal Term"" and together with the Initial Term, the ""Term"") until and unless (i) either Party provides the other Party written notice of non-renewal no later than ninety (90) days prior the end of the Initial Term or any Renewal Term or (ii) earlier terminated as provided in this ARTICLE 11.",high,Original Corporate,Renewal Term,False
"Client covenants not to sue Developer for any bugs, defects, or service interruptions encountered in the software during the warranty term.",medium,Original Corporate,Covenant Not To Sue,True
"Allocation of Payments.  The Parties acknowledge and agree that the Annual Fees shall be allocated as consideration for advertising services and intangible rights granted by ACSI to Company hereunder, including the rights granted under Section 2.1  [Spoken-Word Audio Sub-Section] and Section 4.2  [ACSI Site Links] and the licenses granted to Company under Section 6, as follows:

             Year                    Advertising Services             Intangible Rights ----------------------------------------------------------------------------------------------                                                                               1                             [***]                           [***] ----------------------------------------------------------------------------------------------               2                             [***]                           [***] ----------------------------------------------------------------------------------------------               3                             [***]                           [***] ----------------------------------------------------------------------------------------------",medium,Original Corporate,Revenue/Profit Sharing,False
"Application for our consent to a transfer and tender of the right of first refusal provided for in Paragraph XX, will be accompanied by the documents (including a copy of the proposed purchase or other transfer agreement) or other information required by us.",medium,Original Corporate,Rofr/Rofo/Rofn,False
"This Agreement shall be governed by and construed in accordance with the laws of the State of New York, without giving effect to any choice of law or conflict of law provision or rule whether such provision or rule is that of the State of New York or any other jurisdiction.",low,Original Corporate,Governing Law,False
Provider covenants that it shall not develop similar software for any of Customer's primary competitors.,medium,Original Corporate,Exclusivity,True
"EKR Improvements shall be owned by EKR  and upon termination of this Agreement by PPI pursuant to Section, shall be deemed be licensed to PPI on a worldwide, non-exclusive,  irrevocable basis, at a royalty or for such other consideration as may be mutually agreed upon by the parties in writing.",high,Original Corporate,License Grant,False
"In the event of termination of this Agreement for whatever cause, in addition to the other obligations of the Parties hereunder, each Party shall return to the other Party or to the other Party's designee no later than thirty (30) days after the effective date of termination all of such other Party's property, including all proprietary information, in its possession, except to the extent required to be retained by law or to comply with such Party's continuing obligations hereunder.",high,Original Corporate,Post-Termination Services,False
"""VNE""; collectively with VNI, ""Vert""",low,Original Corporate,Parties,False
The Receiving Party shall protect the confidential information for 5 years and indemnify the Disclosing Party up to INR 10 Lakhs for accidental leaks.,medium,NDA,Confidentiality,True
"During the period ending on the third anniversary of the expiration of the fiscal year during which the closing of the transactions contemplated hereby occurs, the Company will furnish to its stockholders as soon as practicable after the end of each such fiscal year an annual report (including consolidated statements of financial condition and consolidated statements of income, stockholders' equity and cash flows, certified by independent public accountants) and, as soon as practicable after the end of each of the first three quarters of each fiscal year (beginning with the fiscal quarter ending after the effective date of the Registration Statement), the Company will make available to its stockholders consolidated summary financial information of the Company and the Bank for such quarter in reasonable detail. In addition, such annual report and quarterly consolidated summary financial information shall be made public through the issuance of appropriate press releases at the same time or prior to the time of the furnishing thereof to stockholders of the Company.",medium,Original Corporate,Post-Termination Services,False
"With respect to each Revenue Event, Distributor shall be entitled to receive the Distributor Share of Net Revenue, and Hydraspin shall be entitled to receive the Hydraspin Share of Net Revenue.",medium,Original Corporate,Revenue/Profit Sharing,False
Late payments shall attract an additional default interest rate of 2% per month starting from the due date.,medium,Loan,Interest & Penalties,True
ENTERPRISE PRODUCTS OPERATING L.P.,low,Original Corporate,Parties,False
The Employee is strictly prohibited from working for any direct or indirect competitor anywhere in India for a period of 3 years post-termination.,high,Employment,Non-Compete,True
Nothing in this Agreement shall prevent either party from purchasing standard commercial software from competing vendors.,low,Original Corporate,Competitive Restriction Exception,True
The Repairer or its agent shall have the right to inspect the Advanced Pool Stock and to audit any records relating thereto at any reasonable time upon giving prior written notice to the Company.,medium,Original Corporate,Audit Rights,False
The Borrower shall repay the loan at an interest rate of 14% per annum. Late payments shall attract a grace period of 7 days.,low,Loan,Interest & Penalties,True
"In the event that either Wade or Naked wishes to extend the Term of the Agreement as contemplated above, it shall provide the other Party with written notice at least ninety (90) days prior to the expiration of the Term.",low,Original Corporate,Renewal Term,False
B & C General Warehouse Corporation LLC,low,Original Corporate,Parties,False
"This agreement will be automatically renewed at the end of every ten (10) year term, with each subsequent term of renewal being for a ten (10) year term.",medium,Original Corporate,Renewal Term,False
"The Tenant shall pay a refundable security deposit of INR 87,000 before taking possession. The deposit shall be returned within 15 days after the tenancy ends, subject only to deductions for actual physical damage.",low,Rental,Security Deposit,True
The Receiving Party shall keep all proprietary info confidential for a period of 2 years after disclosure.,low,NDA,Confidentiality,True
"For the services to be rendered and facilities to be provided by the Sponsor hereunder, the Trust shall pay Domini a fee accrued daily and payable monthly at an annual rate equal to 0.50% of the Trust's average daily net assets for the Trust's then current fiscal year.",medium,Original Corporate,Revenue/Profit Sharing,False
Licensor: PACIFICAP ENTERTAINMENT,low,Original Corporate,Parties,False
"formerly known as Tarzan HoldCo, Inc.),",low,Original Corporate,Parties,False
"The Village Media Company shall not, and shall cause its Affiliates and their respective permitted sublicensees not to, whether during the Term or thereafter, challenge (a) the rights of PFHOF in and to any PFHOF Work, (b) the validity of any PFHOF Work, (c) PFHOF's right to grant rights or licenses relating to the PFHOF Works or (d) the validity, legality, or enforceability of this Agreement.",medium,Original Corporate,Covenant Not To Sue,False
"each a ""Party"""" and together ""Parties""",low,Original Corporate,Parties,False
"As consideration for JHU's grant of a License to Company under this Agreement, Company shall pay to JHU a license fee, cash and equity, as set forth in Exhibit A within thirty (30) days of the EFFECTIVE DATE.",medium,Original Corporate,Revenue/Profit Sharing,False
"Subaru of America, Inc., its parent and subsidiaries shall be included as  additional insureds under the CGL using ISO additional insured endorsement CG 20 10 or a substitute providing equivalent coverage.",medium,Original Corporate,Insurance,False
"This Agreement may be terminated by either Party upon [***] written notice to the other Party in the event that the other Party undergoes a Change of Control; provided, however, that such termination notice shall only be effective if delivered within [***] after the later of the occurrence of such Change of Control or the date the Party undergoing the Change of Control delivers written notice thereof to the other Party.",high,Original Corporate,Change Of Control,False
giving effect to the conflicts of laws principles thereof.,low,Original Corporate,Governing Law,False
"Tripath provides an end user limited warranty for retail Products, and one-year limited warranty for OEM products.",medium,Original Corporate,Warranty Duration,False
Com Tech International Corporation,low,Original Corporate,Parties,False
"(d) the Intellectual Property Rights are Performer Background IPR or Patent rights of the Licensor Party or another member of the Licensor Group and is necessary for the Licensee Party or another member of the Licensee Party to Exploit the Performer Foreground-Delivered IPR in the Licensee Group Field, provided, however, that the license granted in this Section 3.1.1(d) applies only to the extent necessary for the Licensee Party or another member of the Licensee Group to Exploit the Performer Foreground-Delivered IPR in the Licensee Group Field. (collectively, ""Licensed Intellectual Property Rights"").",low,Original Corporate,License Grant,False
"Subject to the terms and conditions hereof, Nantz      Communications grants to the Company the Endorsement throughout the world      during the Term in connection with the advertisement, promotion and sale by      the Company of Ashworth Products except in connection with Premium      Programs.",low,Original Corporate,License Grant,False
The Employee is strictly prohibited from working for any direct or indirect competitor anywhere in India for a period of 3 years post-termination.,high,Employment,Non-Compete,True
"Tripath grants to Distributor a non-exclusive license to use Tripath's trademarks, trade names and service marks only in connection with the Products and in the performance of Distributor's obligations under this Agreement.",high,Original Corporate,License Grant,False
"collectively, the ""Principals"" and individually,                a ""Principal""",low,Original Corporate,Parties,False
"The term of this Agreement shall begin on the date hereof (the ""Effective Date"") and shall continue for a period of 12 months thereafter (the ""Period"") in full force and effect until it is terminated in accordance with this Section 3.",high,Original Corporate,Expiration Date,False
"Within the scope of the [...***...] License Agreement, Miltenyi has got the right to grant non-exclusive sublicenses to third parties utilizing cytokines for applications that are covered by the claims of [...***...] to develop, manufacture, market and commercialize medicinal products on terms and conditions consistent with the terms and conditions contained in the [...***...] License Agreement.",high,Original Corporate,License Grant,False
"THE                   LIABILITY OF EXCITE FOR DAMAGES OR ALLEGED DAMAGES HEREUNDER,                   WHETHER IN CONTRACT, TORT OR ANY OTHER LEGAL THEORY, IS                   LIMITED TO, AND WILL NOT EXCEED, THE AMOUNTS ACTUALLY PAID BY                   SPONSOR TO EXCITE HEREUNDER.",high,Original Corporate,Cap On Liability,False
"After ""Source Code Access Conditions"" is met, LICENSEE shall have the right to use, modify, reproduce and have reproduced Object Code from Licensed Source Code to develop, use, market, distribute, and to maintain and support the Licensed Technology in the Licensee Product.",low,Original Corporate,License Grant,False
The Receiving Party shall keep all proprietary info confidential for a period of 2 years after disclosure.,low,NDA,Confidentiality,True
"If the Client, in its reasonable discretion, consents, the Client is hereby granted an exclusive, worldwide, royalty-free, perpetual, irrevocable license to use, distribute, modify, publish, and otherwise exploit the incorporated items in connection with the work product developed for the Client.",high,Original Corporate,Exclusivity,False
"Company shall provide and maintain, at its own expense, commercial general liability insurance and advertising injury coverage, with limits of not less than One Million Dollars ($1,000,000.00), and shall cause such policy to be endorsed to state that Duval is an additional named insured thereunder.",medium,Original Corporate,Insurance,False
"This Agreement shall be governed by the laws of the State of New York and all disputes and controversies arising out of or in connection with the Agreement shall be brought exclusively before the competent courts in New York County, New York; provided however that judgment shall be enforceable in any country and that nothing in this Section shall prevent or restrict either Party from seeking interim relief in any competent jurisdiction as it may deem fit.",high,Original Corporate,Governing Law,False
"Merchant shall deliver to Purchaser certificates evidencing such insurance setting forth the duration thereof and naming Purchaser as an additional named insured, in form reasonably satisfactory to Purchaser.",medium,Original Corporate,Insurance,False
"Licensee shall pay to Licensor for maintenance and support and upgrade           services provided under the applicable Sublicense or other written           maintenance and support agreement with or approved by Licensee for           each of the Licensed Products a fee equal to 50% of all revenues           received (without deduction for value added tax, if any) by Licensee           from a Redistributor or Customer relating to maintenance and support           services or services for Upgrades or upgrades of systems for such           Licensed Product.",medium,Original Corporate,Revenue/Profit Sharing,False
Otkritie Investments Cyprus Limited,low,Original Corporate,Parties,False
Blackstone / GSO Long-Short Credit Income Fund,low,Original Corporate,Parties,False
"Except for breach of confidentiality, neither party's liability shall exceed two times the annual subscription fee.",low,Original Corporate,Cap On Liability,True
"The rights and obligations of each Party under this Agreement shall not be transferred, except for the transfer by Party B to its affiliates.",high,Original Corporate,Anti-Assignment,False
Transoceanic Communications Incorporated,low,Original Corporate,Parties,False
The Employee shall not engage in any competing business during the term of employment within a 5 km radius of the office.,low,Employment,Non-Compete,True
Channel Partner will have at a minimum one (1) web page describing the iPass Services.,medium,Original Corporate,Minimum Commitment,False
"The term of this Agreement (the ""Term"") will commence on the Effective Date and will expire upon the earliest of (i) termination of this Agreement in accordance with Section 14.2, or (ii) the date of payment of the last Approval Payment due based on all applicable Regulatory Approvals which have been received.",high,Original Corporate,Expiration Date,False
"The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term"").",medium,Original Corporate,Expiration Date,False
"In the event that it is determined that                   Excite violated the Agreement by excluding a bona fide                   NetGrocer Competitor from Exhibit A or displayed on the                   Excite Site advertising or promotional material from a bona                   fide NetGrocer Competitor, Excite will be obligated to (i)                   immediately add the online supermarket to Exhibit A, (ii)                   immediately remove from the Excite Site any advertising or                   promotional material from the online supermarket and (iii)                   provide NetGrocer with advertising and promotional value,                   without additional cost, equal to the advertising and                   promotional value provided to the online supermarket prior to                   the removal of its advertising and promotional material from                   the Excite Site.",low,Original Corporate,Competitive Restriction Exception,False
The Receiving Party shall keep all proprietary info confidential for a period of 2 years after disclosure.,low,NDA,Confidentiality,True
Neither party will bring a legal action related to this Agreement more than two years after the cause of action accrued.,medium,Original Corporate,Cap On Liability,False
Sponsor Content in and on the Co-Branded Pages.,low,Original Corporate,License Grant,False
The above warranties are valid for a period of [***] from the date of shipment of any Licensed Product to any customer.,medium,Original Corporate,Warranty Duration,False
This Agreement shall automatically terminate in the event the Management Agreement is assigned or otherwise terminated.,high,Original Corporate,Anti-Assignment,False
"Upon the expiration or termination of the Term (other than in connection with a Sale Transaction in which Sekisui acquires Qualigen), Sekisui shall cooperate in permitting Qualigen to offer to rehire any Sekisui sales representatives who are primarily responsible for selling the Products. A sales person ""primarily responsible for selling the Products"" is one that spends more than half of his or her time and receives more than half of his or her commission based compensation based on sales of the Products.",high,Original Corporate,Post-Termination Services,False
Scientific Products Pharmaceutical Co. LTD.,low,Original Corporate,Parties,False
"This Agreement was entered into in the State of Florida, and its validity, construction, interpretation, and legal effect shall be governed by the laws and judicial decisions of the State of Florida applicable to contracts entered into and performed entirely within the State of Florida.",low,Original Corporate,Governing Law,False
"'MINDA', which terms shall unless repugnant to the subject or context mean and include his heirs, executors, administrators or successors and permitted assigns",low,Original Corporate,Parties,False
Trust's Advantus Money Market Fund,low,Original Corporate,Parties,False
"The construction and validity of this Agreement and the provisions hereof, and the rights and obligations of the Parties hereunder, will be governed by the internal laws of the State of Delaware, USA, and, to the extent applicable to Patents and Trademarks, the applicable federal laws of the USA, in each instance without regard to conflict of laws principles.",low,Original Corporate,Governing Law,False
"Columbia Laboratories, (Bermuda) Ltd.",low,Original Corporate,Parties,False
"Within the said [***] days, MediWound shall notify CBC of either: (i) its approval and acceptance of such batch sample (""Acceptance Sample Notice""); or (ii) its rejection of the batch sample in which case MediWound shall detail the reason(s) for the rejection of any such Bromelain SP sample",medium,Original Corporate,Warranty Duration,False
"AVIONS DE TRANSPORT REGIONAL, G.I.E",low,Original Corporate,Parties,False
"(c) Supplier either: (i) merges with another entity, (ii) suffers a transfer involving fifty (50%) percent or more of any class of its voting securities or (iii) transfers all, or substantially all, of its assets;",high,Original Corporate,Change Of Control,False
"Any other insurance coverage that is required by federal, state, or municipal law.",medium,Original Corporate,Insurance,False
"At any time that there is no uncompleted Statement of Work outstanding, either party may terminate this Agreement for any or no reason upon fifteen (15) days advance notice to the other.",high,Original Corporate,Expiration Date,False
"The Effective Date of this Agreement shall be January 1, 2025, regardless of the date of actual signature.",medium,Original Corporate,Effective Date,True
AMENDMENT                                      TO THE                               DISTRIBUTOR AGREEMENT                                      BETWEEN                                   INGRAM MICRO                                        AND                                      NETGEAR,low,Original Corporate,Document Name,False
The Employee shall not work for any competitor in the same city for 24 months after the termination of employment.,medium,Employment,Non-Compete,True
"The Receiving Party shall keep the confidential information secret in perpetuity, and any breach shall result in automatic liquidated damages of INR 50 Lakhs.",high,NDA,Confidentiality,True
"""AbbVie Know-How"" means all Information that is (a) Controlled by AbbVie or any of its Affiliates during the Term, (b) developed or acquired by AbbVie or any of its Affiliates during the Term as a result of performance under this Agreement, (c) not generally known and (d) necessary or reasonably useful for the Exploitation of the Licensed Compound or a Licensed Product, but excluding any Joint Know-How or Information published in any AbbVie Patents or Joint Patents.",low,Original Corporate,Affiliate License-Licensor,False
The terms of this Agreement shall take effect upon the successful launch of the beta platform.,low,Original Corporate,Effective Date,True
"Neither this Agreement nor any rights or obligations hereunder shall be transferred or assigned by either Party without the written consent of the other Party, which consent shall not be unreasonably withheld; provided, however, that Liquidmetal shall have the right, without the prior written consent of Eutectix, to assign its warranty rights and other rights hereunder with respect to specific Liquidmetal Products to the Customers of such Liquidmetal Products.",high,Original Corporate,Anti-Assignment,False
"in such capacity and together with its successors and assigns in such capacity, the ""Agent""",low,Original Corporate,Parties,False
"The total amount of material World Book makes available for all Affinities shall be no less than sixteen million (16,000,000) Chinese characters.",medium,Original Corporate,Minimum Commitment,False
"(the ""Parties"" or ""Joint Venturers"" if referred to collectively, or the ""Party"" or Joint Venturer"" if referred to singularly)",low,Original Corporate,Parties,False
The Term shall commence upon the Effective Date and shall continue for an initial term of five (5) years.,low,Original Corporate,Expiration Date,False
The notice period required to terminate or prevent automatic renewal of this Agreement shall be one hundred and eighty (180) days.,high,Original Corporate,Notice Period To Terminate Renewal,True
"Either party may, at its election, assign this Agreement or          any of its rights or delegate any of its obligations hereunder, in          whole or in part, to any person, firm or corporation owning or          acquiring all or a substantial portion of its assets, to any person,          firm or corporation that is related to it as an affiliate,",high,Original Corporate,Anti-Assignment,False
"The Landlord may terminate this Agreement immediately without notice if the Tenant fails to pay rent on the due date, and all belongings of the Tenant shall be seized.",high,Rental,Termination,True
SpinCo shall have the sole right to use the title Steam/its generation and use to publish future editions of the Steam Book.,medium,Original Corporate,Exclusivity,False
"[***] of each Forecast shall constitute a firm order and be a binding commitment on AMAG to purchase the volume of Product, sample Product and Trainers set forth therein (the ""Binding Forecast"").",medium,Original Corporate,Minimum Commitment,False
This agreement commences upon execution of this document.,low,Original Corporate,Effective Date,False
JHU shall have the right to audit any and all Company records related to this Agreement.,medium,Original Corporate,Audit Rights,False
"Each of Depomed and King is referred to herein individually as a ""party"" and collectively as the ""parties.""",low,Original Corporate,Parties,False
"IN NO EVENT SHALL PRIMECALL BE LIABLE TO DELTATHREE FOR ANY SPECIAL, INCIDENTIAL OR CONSEQUENTIAL DAMAGES, INCLUDING, WITHOUT LIMITATION, LOSS OF PROFITS, REVENUES OR DATA WHETHER BASED ON BREACH OF CONTRACT, TORT OR OTHERWISE, WHETHER OR NOT DELTATHREE HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.",high,Original Corporate,Cap On Liability,False
"For purposes of this section, the Post-Well Study must show that the Existing CRA Well or Replacement CRA Well can produce CRA water at a minimum of 1,200 GPM or more or a combination of 1,200 GPM from one or more wells on the Property in order for STW to proceed with the obligations set forth in this section (""Critical Criterion"").",medium,Original Corporate,Minimum Commitment,False
"COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",low,Original Corporate,Document Name,False
"If FMI enters into any subsequent agreement with another customer or collaborator which provides for pricing terms for substantially the same product or services at substantially the same (or a lesser) scale, which pricing terms are more favorable than those contained herein, then FMI shall notify Roche and Roche will have the right to modify this agreement to provide Roche with those more favorable pricing terms. […***…].",low,Original Corporate,Most Favored Nation,False
"Notwithstanding any provision herein or in the ISDA Form         to the contrary, the obligations of Counterparty hereunder are limited         recourse obligations of Counterparty, payable solely from the Trust         Estate (as defined in the Pooling and Servicing Agreement) and the         proceeds thereof to satisfy Counterparty's obligations hereunder.",high,Original Corporate,Cap On Liability,False
"In the event generic equivalents has captured the [ * ] of the quantity of Lead Compound sold by Astellas during the [ * ] preceding such termination calculated on a annual basis; or in the event, after the entry into the market of generic equivalents, that Astellas' annual sales fall below $[ * ] for all Lead Compounds, Astellas may terminate this Agreement upon [ * ] written notice to FG; provided, that Astellas does not Commercialize any Lead Compound after such termination until the expiration of the last to expire FG Patents applicable to such Lead Compound.",high,Original Corporate,Minimum Commitment,False
"Unless otherwise provided in the applicable Facility Addendum, this Agreement (a) shall commence on the Effective Date and shall continue for a period of four (4) years from such date (the ""Initial Term"" of this Agreement), unless sooner terminated pursuant to Section 7.3, 7.4, 7.5, 7.6 or 7.7, and (b) may be extended for up to three (3) additional periods of twelve (12) months (each, an ""Extension Period"") by written notice given by Customer to Manufacturer not less than twelve (12) months prior to the expiration of the Initial Term or the applicable Extension Period, as the case may be.",high,Original Corporate,Expiration Date,False
"Auriemma grants to Berkshire the exclusive right and license (the ""License Rights"") to use the Auriemma Identification during the  Contract Period and throughout the Contract Territory solely in connection with the advertisement and promotion of Berkshire and the Financial  Services",high,Original Corporate,License Grant,False
"B C Marketing Concepts Inc., dba Full Sail Brewing Company",low,Original Corporate,Parties,False
Dialog Semiconductor (UK) Ltd.,low,Original Corporate,Parties,False
"The Joint Venture shall commence on the 1st of      March, 2003,",low,Original Corporate,Effective Date,False
"This Agreement shall be governed by and construed in accordance with the substantive Laws of the [* * *], excluding any rules of conflicts of laws that would apply the substantive laws of any other jurisdiction.",low,Original Corporate,Governing Law,False
Either party may terminate this Agreement by giving the other party at least 45 days written notice.,low,Rental,Termination,True
"this ______ day of ________________, 2013",low,Original Corporate,Effective Date,False
"This Agreement shall commence on the Effective Date and continue thereafter for a period of two (2) years, unless extended by written agreement of both parties or sooner terminated as set forth below.",high,Original Corporate,Expiration Date,False
Nanophase Technologies Corporation,low,Original Corporate,Parties,False
"Subject to the prior written approval of IAC's vendor or IAC Subcontractor, Sonos or its representatives may also inspect such vendor or subcontractor.",medium,Original Corporate,Audit Rights,False
"Subject to the limitations set forth in Section 5.2  [Restrictions] hereof, VerticalNet hereby grants to LeadersOnline a non-exclusive, nontransferable right and license to access the Resume Bank.",high,Original Corporate,License Grant,False
Valeant Pharmaceuticals North America LLC,low,Original Corporate,Parties,False
The non- exclusive rights granted to Investor under this Article 3.02 do not include the right to grant sublicenses to Third Parties.,high,Original Corporate,Non-Transferable License,False
The Parties shall reasonably cooperate in good faith to effect the transition to Janssen of all Product promotional activities to minimize disruptions to customers and patients.,medium,Original Corporate,Post-Termination Services,False
Beijing Sun Seven Stars Culture Development Limited,low,Original Corporate,Parties,False
"VerticalNet and PaperExchange shall be responsible for the sale of all advertising on the Co-Branded Sites; provided, however, that neither party shall sell advertising on the Co-Branded Sites to a competitor (as defined in 1.16 and 1.25) and provided that each party shall submit any proposed advertising for the Co-Branded Sites to the other party for its prior written approval, such approval not to be unreasonably withheld, delayed or conditioned.",high,Original Corporate,Non-Compete,False
Vyera shall conduct the Commercialization activities in accordance with the Commercialization Plan and in performing such activities will ensure that it meets or exceeds the Minimum Requirements.,medium,Original Corporate,Minimum Commitment,False
"Each Party agrees to obtain and maintain, during the Term and for five (5) years after the Term, commercial general liability insurance, including products liability insurance, with minimum ""A-"" AM Best rated insurance carriers, in each case with limits of not less than five million dollars ($5,000,000) per occurrence and in the aggregate",medium,Original Corporate,Insurance,False
"Automobile Liability Insurance. Occurrence based coverage with a combined single limit of at least $10,000,000 per occurrence and in the aggregate for owned, non-owned, and hired automotive equipment of the Party. Requires additional insured endorsement and waiver of subrogation endorsement.",high,Original Corporate,Insurance,False
"The Joint Venture is a fixed term Joint Venture beginning November 27, 2018 and ending November 30th, 2019 or as otherwise provided in this Agreement.",low,Original Corporate,Effective Date,False
"Bellicum acknowledges and agrees that Bellicum's rights to a refund or credit for, or to receive replacement of, properly rejected shipments of Miltenyi Products hereunder shall be Bellicum's sole and exclusive remedy, and Miltenyi's sole obligation, with respect to non-conforming Miltenyi Products delivered hereunder.",high,Original Corporate,Cap On Liability,False
"During the term of employment and for one (1) year thereafter, the Executive will not directly or indirectly, either themselves or through others, encourage or solicit any employee of the Company to leave the Company for any reason. This obligation shall not affect any responsibility the Executive has as an employee of the Company with respect to the bona fide hiring and firing of Company personnel.",high,Original Corporate,No-Solicit Of Employees,False
"THIS AGREEMENT WILL BE GOVERNED IN ALL RESPECTS, INCLUDING VALIDITY, INTERPRETATION AND EFFECT, BY THE LAWS OF THE STATE OF DELAWARE WITHOUT GIVING EFFECT TO THE CHOICE OF LAW PRINCIPLES OF SUCH STATE.",low,Original Corporate,Governing Law,False
"FG shall have the exclusive right and obligation to supply the Lead Compounds to Astellas and its Affiliates and Sublicensees for all development and commercial purposes, and Astellas and its Affiliates and Sublicensees shall purchase such Lead Compounds exclusively from FG.",high,Original Corporate,Exclusivity,False
"The voice over  appearance shall take place at North's personal residence or at another mutually agreed upon location in Wisconsin, and shall not  exceed two (2) hours in duration.",medium,Original Corporate,Volume Restriction,False
"HPIL ET and GINARES (hereafter the ""Party"" or collectively the ""Partie",low,Original Corporate,Parties,False
"Notwithstanding the foregoing, each Party may assign the rights and obligations under this Agreement in whole, without consent of the other Party, to a Third Party or Affiliate in connection with the transfer or sale of all or substantially all of its business or in the event of a merger, consolidation or change in control provided that the assignee assumes in writing and becomes directly obligated to the other Party to perform all of the obligations of assignor under this Agreement.",high,Original Corporate,Change Of Control,False
"TRANSFER AND SERVICING AGREEMENT, d",low,Original Corporate,Document Name,False
"Except as part of a transaction permitted under this Section 15.2, in no event shall RevMed assign or transfer, or agree to assign or transfer to any Third Party, any or all of the RevMed Licensed Patents without the consent of Sanofi, not be unreasonably withheld or conditioned.",high,Original Corporate,Anti-Assignment,False
"The Landlord may terminate this Agreement immediately without notice if the Tenant fails to pay rent on the due date, and all belongings of the Tenant shall be seized.",high,Rental,Termination,True
The Employee is strictly prohibited from working for any direct or indirect competitor anywhere in India for a period of 3 years post-termination.,high,Employment,Non-Compete,True
"Except as otherwise set forth herein, neither Party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other Party, which consent may be withheld at the other Party's reasonable business discretion; provided, however, that either Party may transfer this Agreement without prior written consent of the other Party to an Affiliate or in connection with a merger or sale of all or substantially all of the stock or assets of such Party.",high,Original Corporate,Anti-Assignment,False
